BGelectroniks,bgel_price,maxshop_price,maxshop_dif
"Кабел, DeTech, HDMI - HDMI M/М, 1.8m, Без ферит, Черен - 18306",4.92,4.86,0.05999999999999961
"Кабел DeTech HDMI - HDMI M/М, 1.5м, С ъглова глава - 18134",10.98,8.8,2.1799999999999997
"Стъклен протектор Mocoson, за iPhone 11/XR, 3D, Full glue, 0.3mm, Черен - 52587",9.99,8.99,1.0
"Стъклен протектор Mocoson, за iPhone 6, 3D, Full glue, 0.3mm, Бял - 52593",9.99,8.99,1.0
"Стъклен протектор Mocoson, за iPhone 6, 3D, Full glue, 0.3mm, Черен - 52592",9.99,8.99,1.0
"Стъклен протектор Mocoson, за iPhone 7/8 Plus, 3D, Full glue, 0.3mm, Бял - 52591",9.99,8.99,1.0
"Стъклен протектор Mocoson, за iPhone 7/8 Plus, 3D, Full glue, 0.3mm, Черен - 52590",9.99,8.99,1.0
"Стъклен протектор Mocoson, за iPhone 7/8, 3D, Full glue, 0.3mm, Бял - 52589",9.99,8.99,1.0
"Стъклен протектор Mocoson, за iPhone 7/8, 3D, Full glue, 0.3mm, Черен - 52588",9.99,8.99,1.0
"Стъклен протектор Mocoson, за iPhone 7/8, 5D, Full glue, 0.3mm, Черен - 52637",15.99,13.99,2.0
"Стъклен протектор Mocoson, за iPhone X, 3D, Full glue, 0.3mm, Черен - 52585",9.99,8.99,1.0
"Стъклен протектор Mocoson, за iPhone XS Max, 3D, Full glue, 0.3mm, Черен - 52586",9.99,8.99,1.0
"Протектор Mocoson Polymer Nano Ceramic, за iPhone 7/8 Plus, 5D, 0.3 mm, Черен - 52599",8.99,7.99,1.0
"Протектор Mocoson Polymer Nano Ceramic, за iPhone 7/8, 5D, 0.3 mm, Бял - 52598",8.99,7.99,1.0
"Протектор Mocoson Polymer Nano Ceramic, за iPhone 7/8, 5D, 0.3 mm, Черен - 52597",8.99,7.99,1.0
"Протектор Mocoson Polymer Nano Ceramic, Мат, за iPhone 11/XR, 5D, 0.3 mm, Черен - 52616",8.99,7.99,1.0
"Протектор Mocoson Polymer Nano Ceramic, Мат, за iPhone X, 5D, 0.3 mm, Черен - 52614",8.99,7.99,1.0
"Кабел DeTech HDMI - DVI, 3m, Ферит, Черен, HQ - 18190",17.05,16.72,0.33000000000000185
"Кабел DeTech DVI-VGA, 1.5M, Черен - 18246",11.2,10.38,0.8199999999999985
"Кабел DeTech VGA - VGA, 1.5m, Ферит, Черен - 18035",5.07,3.8,1.2700000000000005
"Кабел DeTech VGA - VGA, 5m,  Ферит - 18014",11.92,10.98,0.9399999999999995
"Кабел DeTech VGA - VGA, 10 m, Ферит - 18113",22.14,21.78,0.35999999999999943
"Кабел DeTech Mini DP - HDMI M/M, 14+1 cooper, 1.8м, Черен - 18279",17.07,14.74,2.33
"Кабел DeTech DP HDMI M/M, 14+1 cooper, 1.8м, Черен - 18273",17.07,16.39,0.6799999999999997
"Кабел DeTech DP  DP M/M, 14+1 cooper, 3м, Черен - 18271",19.36,17.6,1.759999999999998
"Кабел DeTech DP DVI M/M, 14+1 cooper,1.8м, Черен - 18276",23.98,22.86,1.120000000000001
"Кабел DeTech USB - USB M,  HQ 1.5m - 18034",3.56,3.08,0.48
"Кабел DeTech USB -USB M, HQ 3m -18077",5.06,4.38,0.6799999999999997
"Кабел DeTech LAN-LAN, CAT 5, 1.0м -18078",3.1,2.44,0.6600000000000001
"Кабел DeTech LAN - LAN , CAT 5 24AWG, 3m -18015",4.09,3.45,0.6399999999999997
"Кабел DeTech LAN - LAN, CAT 5 24AWG, 5m -18016",5.29,4.62,0.6699999999999999
"Кабел DeTech LAN - LAN, CAT 5 24AWG, 10m -18030",7.59,6.82,0.7699999999999996
"Кабел DeTech LAN - LAN, CAT 5 24AWG,15m -18037",9.99,9.81,0.17999999999999972
"Кабел DeTech LAN - LAN, CAT 5 24AWG, 20m - 18036",13.33,12.32,1.0099999999999998
"Кабел DeTech 2 чинча / RCA - 2 чинча / RCA, 1.5м, High Quality - 18017",3.54,2.42,1.12
"Аудио кабел DeTech 3.5 - 2RCA, 1.5м. high quality - 18116",2.8,2.62,0.17999999999999972
"Аудио кабел DeTech 3.5 - 2RCA ,High Quality, 3m -18074",3.82,3.41,0.4099999999999997
"Аудио кабел DeTech 3.5 - 3RCA, 1.5m - 18183",3.82,3.74,0.07999999999999963
"Кабел DeTech 3RCA - 3RCA, High Quality, 1.5m - 18042",4.0,3.52,0.48
"Аудио кабел DeTech M - F, 3.5мм, 1.5м - 18147",2.53,2.13,0.3999999999999999
"Аудио кабел DeTech M - F, 3.5мм, 3.0м - 18148",3.26,2.64,0.6199999999999997
"Кабел за принтер DeTech USB A - USB B, High Quality,1.5m - 18054",3.67,3.3,0.3700000000000001
"Кабел за принтер DeTech USB A - USB B, High Quality, 3.0m -18075",5.06,4.84,0.21999999999999975
"Кабел за принтер DeTech USB A - USB B, High Quality, 5.0m - 18040",7.74,5.94,1.7999999999999998
"Кабел SATA DATA, DeTech, Червен - 18058",1.72,1.45,0.27
"Кабел No brand Network UTP/LAN  CAT 5 E, Бял, 305m - 18401",112.2,102,10.200000000000003
"Кабел No brand OUTDOOR CAT 5 UTP, Черен, 305 m - 18407",157.59,148.5,9.090000000000003
"Кабел No brand Network UTP CAT6, Син, С медно жило, 305m - 18410",321.22,285.98,35.24000000000001
"Протектор Mocoson Polymer Nano Ceramic, за Samsung Galaxy Note 10 Plus, 5D, 0.3 mm, Черен - 52612",8.99,7.99,1.0
"Протектор Mocoson Polymer Nano Ceramic, за Samsung Galaxy Note 10, 5D, 0.3 mm, Черен - 52613",8.99,7.99,1.0
"Протектор Mocoson Polymer Nano Ceramic, за Samsung Galaxy S20 Plus, 5D, 0.3 mm, Черен - 52610",8.99,7.99,1.0
"Протектор Mocoson Polymer Nano Ceramic, за Samsung Galaxy S20, 5D, 0.3 mm, Черен - 52611",8.99,7.99,1.0
"Протектор Mocoson Polymer Nano Ceramic, за Samsung Galaxy S8, 5D, 0.3 mm, Черен - 52603",8.99,7.99,1.0
"Протектор Mocoson Polymer Nano Ceramic, за Samsung Galaxy S9, 5D, 0.3 mm, Черен - 52604",8.99,7.99,1.0
"Протектор Mocoson Polymer Nano Ceramic, за Huawei P30 Pro, 5D, 0.3 mm, Черен - 52608",8.99,7.99,1.0
"Кабел за данни DeTech DE-C27i, Lightning (iPhone 5/6/7/SE), 1.0m, Бял - 40110",4.3,3.8,0.5
"Кабели за данни No brand, 10бр. За iPhone 5/6/7, 1.0m, Бял - 14854",16.63,15.12,1.5099999999999998
"Преходник DeTech Mini DP то DVI, HDMI, VGA 10см, Бял - 18157",35.49,30.58,4.910000000000004
"Кабел за данни No brand, Type-C към Lightning, PD, 1.0m, Бял - 14990",15.21,12.66,2.5500000000000007
"Кабел за данни DeTech DE-C27M, Micro USB, 1.0m, Бял - 40109",3.44,3,0.43999999999999995
Кабел за данни DeTech USB - USB micro - 18025,3.1,2.86,0.2400000000000002
"Кабели за данни No brand, 20бр. Micro USB, 1.0m, Бял - 14856",22.88,20.8,2.0799999999999983
"Кабел за данни DeTech DE-24C, Type-C, 1.0m, Бял - 14128",4.3,3.86,0.43999999999999995
"Кабел за данни DeTech DE-C27C, Type-C, 1.0m, Бял - 40111",4.3,3.8,0.5
"Кабел за данни, DeTech, USB - USB Type-C, 1.5A, 1.0m - 18314",4.64,3.96,0.6799999999999997
"Кабел DeTech USB - USB Mini, 1.5m, Черен - 18071",3.56,3.08,0.48
"Геймърска мишка ZornWee G509, Оптична, Черен - 701",17.24,16.04,1.1999999999999993
